url	Title	Price	City	State
https://northmiss.craigslist.org/cto/d/rare-sport-utility-vehicle-in/6483502485.html	Rare sport utility vehicle in Great Shape - Toyota - '01	$1067		
https://northmiss.craigslist.org/cto/d/2003-toyota-tacoma-ext-cab-4x4/6483623791.html	2003 Toyota Tacoma Ext Cab 4x4	$7500		
https://northmiss.craigslist.org/cto/d/2002-ford-mustang-gt/6483615995.html	2002 Ford Mustang Gt	$8500	 Kosciusko	
https://northmiss.craigslist.org/cto/d/2008-f150-lariat/6483613904.html	2008 f150 lariat	$12500	 New Albany	
https://northmiss.craigslist.org/cto/d/2010-gmc-yukon-slt-super-nice/6483604447.html	2010 GMC YUKON SLT SUPER NICE	$14950		
https://northmiss.craigslist.org/ctd/d/2006-nissan-maxima-sl-leather/6483600543.html	2006  NISSAN MAXIMA  SL  LEATHER/SUNROOF	$3250	 FULTON	MS
https://northmiss.craigslist.org/cto/d/for-sale-2006-acura-tl/6483585205.html	FOR SALE 2006 ACURA TL	$4350		
https://northmiss.craigslist.org/cto/d/1979-trans-am/6483577066.html	1979 Trans Am	$1600	 Olive Branch	
https://northmiss.craigslist.org/cto/d/2007-chevy-impala-lt/6483574087.html	2007 Chevy Impala LT	$4500	 Southaven	
https://northmiss.craigslist.org/cto/d/2003-thunderbird/6477620514.html	2003 thunderbird	$13000		
https://northmiss.craigslist.org/cto/d/grand-cherokee-has-sunroof/6483445332.html	Grand cherokee Has Sunroof and six Cylinder Engine	$1070		
https://northmiss.craigslist.org/cto/d/2011-chevy-camaro/6461725503.html	2011 Chevy Camaro	$11500	 Southaven	
https://northmiss.craigslist.org/cto/d/2008-jeep-wrangler-unlimited/6461300687.html	2008 Jeep Wrangler Unlimited	$20000	 Columbus	 MS
https://northmiss.craigslist.org/cto/d/nissan-pickup/6483532005.html	1986 1/2  Nissan Pickup	$500	 Hamilton	 Alabama
https://northmiss.craigslist.org/cto/d/01-ram/6483530708.html	01 ram	$700	 Oxford	
https://northmiss.craigslist.org/cto/d/2007-chrysler-pt-cruiser/6466933243.html	2007 Chrysler PT Cruiser Touring Edition; Great Condition! Low Miles!	$4450	 Tupelo	
https://northmiss.craigslist.org/cto/d/fender-amp-stratocaster/6483525126.html	Fender amp& stratocaster	$125	 Iuka	
https://northmiss.craigslist.org/cto/d/2005-chevrolet-silverado-4/6478134924.html	2005 Chevrolet Silverado 4 Door 4 WD	$7900	 Waynesboro	
https://northmiss.craigslist.org/cto/d/2014-chevrolet-silverado-4x4/6483508292.html	2014 Chevrolet Silverado 4x4	$25500	 Batesville Ms	
https://northmiss.craigslist.org/cto/d/2009-honda-accord/6483507632.html	2009 Honda Accord	$8400		
https://northmiss.craigslist.org/ctd/d/07-chevy-tahoe/6483505564.html	07 chevy tahoe	$9500	 Tupelo	
https://northmiss.craigslist.org/cto/d/chevy-tahoe-1995-does-not-run/6483479399.html	Chevy Tahoe 1995 does not run  ////Has good body /// clean title	$700	 1670 hwy 80 east pearl ms	
https://northmiss.craigslist.org/cto/d/2000-ford-excursion-extras/6473678860.html	2000 Ford Excursion w/extras	$4700	 Columbus	
https://northmiss.craigslist.org/cto/d/2009-nissan-altima/6472024222.html	2009 Nissan altima	$7000	 Tupelo	
https://northmiss.craigslist.org/cto/d/2003-gmc-sierra/6483471465.html	2003 GMC Sierra	$2500	 Oxford	
https://northmiss.craigslist.org/ctd/d/03-toyota-sequoia/6483471462.html	03 Toyota sequoia	$5999	 Tupelo	
https://northmiss.craigslist.org/cto/d/ford-mustang-gt-2003-wrecked/6483456343.html	Ford Mustang gt  2003 wrecked  foe sale / trade / parts // runs great	$1900	 1670 hwy 80 east pearl ms	
https://northmiss.craigslist.org/cto/d/2006-cadillac-cts-fully/6451237410.html	2006 Cadillac CTS - FULLY LOADED! CLEAN!!!	$4950	 Tupelo	
https://northmiss.craigslist.org/cto/d/97-jeep-wrangler/6464919245.html	97 Jeep Wrangler	$5800	 Calhoun	
https://northmiss.craigslist.org/cto/d/87-nissan-4x4/6470276374.html	87 Nissan 4x4	$2300	 Calhoun	
https://northmiss.craigslist.org/ctd/d/1991-chevrolet-silverado-reg/6483450195.html	1991  CHEVROLET  SILVERADO  REG CAB/LWB	$2250	 FULTON	MS
https://northmiss.craigslist.org/cto/d/chevy-van-2001-just-retired/6479995556.html	Chevy Van 2001/ just retired at&t van 3/4 ton runs great	$2000	 1670 hwy 80 east pearl ms	
https://northmiss.craigslist.org/cto/d/2007-pontiac-g6/6480194780.html	2007 pontiac G6	$5000	 Greenwood ms.	
https://northmiss.craigslist.org/cto/d/2013-ford-fiesta/6483404962.html	2013 Ford Fiesta S	$6300	 Independence	
https://northmiss.craigslist.org/cto/d/1999-ford-250-super-duty/6483405717.html	1999 FORD F-250 SUPER DUTY SUPER CAB	$3550		
https://northmiss.craigslist.org/cto/d/2009-honda-accord/6483403967.html	2009 Honda Accord	$8500	 Columbus	 MS
https://northmiss.craigslist.org/cto/d/2004-gmc-yukon-2wd/6478156381.html	2004 GMC Yukon 2WD	$5900	 Belmont	 MS
